pair,P_fixed_W,P_esc_W,E_fixed_J,E_esc_J,regret_pct,esc_convT_s,ok
R0,251.000852913109,251.00079990721,2510.008529984,2510.007999872,-2.11199282251811e-05,4,1
WN1,251.000852913109,251.000752924708,2510.008529984,2510.00753,-3.98398646230619e-05,12,1
WN2,251.000852913109,251.000803521248,2510.008529984,2510.008036016,-1.96799331288009e-05,20,1
WN3,251.000852913109,251.000756538746,2510.008529984,2510.007566144,-3.83998694904471e-05,8,1
WN4,251.000852913109,251.00082520548,2510.008529984,2510.00825288,-1.10399624780506e-05,20,1
WN5,251.000852913109,251.000779427657,2510.008529984,2510.007795056,-2.92799005104714e-05,8,1
DL1,251.000852913109,251.000840866314,2510.008529984,2510.008409504,-4.79998369083522e-06,4,1
WD,251.000561681829,251.000886041793,2510.005615874,2510.008861304,0.000129299710718123,4,1
CM1,251.000561681829,251.00089447455,2510.005615874,2510.008944887,0.000132629703271786,20,1
CM2,251.000561681829,251.000861345863,2510.005615874,2510.00861432,0.000119459732729547,4,1
CM3,251.000561681829,251.000877006696,2510.005615874,2510.008770944,0.000125699718779479,4,1
