Algorithm,Seed,MOE_energy,MOE_overall,MOE_instant,MOE_avail,EnergyExcessPercent
ea_multistart,11,0.978034662563825,0.915281007837562,0.98531068599862,0.653352353780314,2.24586492452062
ea_multistart,12,0.968649872199971,0.892082301121763,0.972332900517491,0.580287474332649,3.23647673940506
ea_multistart,13,0.978567605668247,0.932207510595345,0.985577819889068,0.736251808972504,2.19018023973081
tracker,11,0.995922974085255,0.858377238368907,0.996941393309821,0.306666666666667,0.409371610137757
tracker,12,0.995922974085255,0.858377238368907,0.996941393309821,0.306666666666667,0.409371610137757
tracker,13,0.995922974085255,0.858377238368907,0.996941393309821,0.306666666666667,0.409371610137757
esc,11,0.958861284952123,0.807823132099951,0.959271261709261,0.203055555555556,4.2903718914808
esc,12,0.96043636030523,0.804349353215186,0.941363169467831,0.208611111111111,4.11934005520125
esc,13,0.961064741301078,0.809743303105353,0.949591997071604,0.221666666666667,4.05126283648823
spsa,11,0.978518731449128,0.880491054985098,0.980031556794374,0.486111111111111,2.19528434770579
spsa,12,0.977390572390699,0.876795537759954,0.97866750521535,0.4725,2.31324388100024
spsa,13,0.977922006815816,0.876144071974601,0.974313932259348,0.474444444444444,2.25764355749308
bayes,11,0.944875347352472,0.79782138317557,0.953802456843036,0.196214862232118,5.83406613390719
bayes,12,0.946965724949339,0.803826499098185,0.955120777797839,0.219037016420818,5.60044293614723
bayes,13,0.943873927734489,0.796915877126794,0.949113308601505,0.201224603395491,5.94635264480992
qnewton,11,0.988658707856515,0.940739175587592,0.989143849975561,0.748333333333333,1.14713925577754
qnewton,12,0.986888783703931,0.931001870733649,0.9874138184945,0.706666666666667,1.32854041028424
qnewton,13,0.986520241192493,0.9274400633087,0.987636846078548,0.689444444444444,1.36639454971678
