Block,PortIndex,PortType,SourceBlock,SourcePort,DestinationBlock,DestinationPort,SignalName
air/Attitude Control,1,1,air/Subsystem,3,,NaN,
air/Attitude Control,2,2,air/Demux3,0,,NaN,
air/Attitude Control,3,3,air/Demux3,1,,NaN,
air/Attitude Control,4,4,air/Demux3,2,,NaN,
air/Attitude Control,5,5,air/Demux3,3,,NaN,
air/Attitude Control,6,6,air/Demux3,4,,NaN,
air/Attitude Control,7,7,air/Subsystem,0,,NaN,
air/Attitude Control,8,8,air/Subsystem,1,,NaN,
air/Attitude Control,9,9,air/Subsystem,2,,NaN,
air/Attitude Control,10,10,air/Subsystem,4,,NaN,
air/Attitude Control,11,11,air/Subsystem,5,,NaN,
air/Attitude Control,12,12,air/Subsystem,6,,NaN,
air/Attitude Control,13,1,,NaN,air/PX4 PWM Output,0,
air/Attitude Control,14,2,,NaN,air/Demux,0,
air/Attitude Control/AttitudeControl,1,1,air/Attitude Control/quat2eul,0,,NaN,
air/Attitude Control/AttitudeControl,2,2,air/Attitude Control/quat2eul,1,,NaN,
air/Attitude Control/AttitudeControl,3,3,air/Attitude Control/InputConditioning,1,,NaN,
air/Attitude Control/AttitudeControl,4,4,air/Attitude Control/Demux,0,,NaN,
air/Attitude Control/AttitudeControl,5,5,air/Attitude Control/Demux1,0,,NaN,
air/Attitude Control/AttitudeControl,6,6,air/Attitude Control/Demux1,1,,NaN,
air/Attitude Control/AttitudeControl,7,7,air/Attitude Control/Demux1,2,,NaN,
air/Attitude Control/AttitudeControl,8,8,air/Attitude Control/Demux2,0,,NaN,
air/Attitude Control/AttitudeControl,9,9,air/Attitude Control/Demux2,1,,NaN,
air/Attitude Control/AttitudeControl,10,10,air/Attitude Control/Demux2,2,,NaN,
air/Attitude Control/AttitudeControl,11,11,air/Attitude Control/Demux,1,,NaN,
air/Attitude Control/AttitudeControl,12,12,air/Attitude Control/Constant,0,,NaN,
air/Attitude Control/AttitudeControl,13,1,,NaN,air/Attitude Control/Mux12,0,
air/Attitude Control/AttitudeControl,14,2,,NaN,air/Attitude Control/Mux12,1,
air/Attitude Control/AttitudeControl,15,3,,NaN,air/Attitude Control/Mux12,2,
air/Attitude Control/AttitudeControl,16,4,,NaN,air/Attitude Control/Mux12,3,
air/Attitude Control/AttitudeControl,17,5,,NaN,air/Attitude Control/Mux12,4,
air/Attitude Control/AttitudeControl,18,6,,NaN,air/Attitude Control/Mux12,5,
air/Attitude Control/AttitudeControl,19,7,,NaN,air/Attitude Control/Mux12,6,
air/Attitude Control/AttitudeControl,20,8,,NaN,air/Attitude Control/Mux12,7,
air/Subsystem,1,1,air/Demux,0,,NaN,
air/Subsystem,2,2,air/Demux,1,,NaN,
air/Subsystem,3,3,air/Demux,2,,NaN,
air/Subsystem,4,4,air/Demux,3,,NaN,
air/Subsystem,5,5,air/Demux,4,,NaN,
air/Subsystem,6,6,air/Demux,5,,NaN,
air/Subsystem,7,7,air/Demux,6,,NaN,
air/Subsystem,8,8,air/Demux,7,,NaN,
air/Subsystem,9,1,,NaN,air/Attitude Control,6,
air/Subsystem,10,2,,NaN,air/Attitude Control,7,
air/Subsystem,11,3,,NaN,air/Attitude Control,8,
air/Subsystem,12,4,,NaN,air/Attitude Control,0,
air/Subsystem,13,5,,NaN,air/Attitude Control,9,
air/Subsystem,14,6,,NaN,air/Attitude Control,10,
air/Subsystem,15,7,,NaN,air/Attitude Control,11,
air/Subsystem/6DOF (Quaternion),1,1,air/Subsystem/MATLAB Function,0,,NaN,
air/Subsystem/6DOF (Quaternion),2,2,air/Subsystem/MATLAB Function,1,,NaN,
air/Subsystem/6DOF (Quaternion),3,1,,NaN,air/Subsystem/Terminator,0,
air/Subsystem/6DOF (Quaternion),4,2,,NaN,air/Subsystem/Terminator1; air/Subsystem/Demux1,0,
air/Subsystem/6DOF (Quaternion),5,3,,NaN,air/Subsystem/Terminator2,0,
air/Subsystem/6DOF (Quaternion),6,4,,NaN,air/Subsystem/MATLAB Function; air/Subsystem/Matrix Multiply; air/Subsystem/Direction Cosine Matrix
to Quaternions,1,
air/Subsystem/6DOF (Quaternion),7,5,,NaN,air/Subsystem/Terminator3,0,
air/Subsystem/6DOF (Quaternion),8,6,,NaN,air/Subsystem/Demux,0,
air/Subsystem/6DOF (Quaternion),9,7,,NaN,air/Subsystem/Terminator4,0,
air/Subsystem/6DOF (Quaternion),10,8,,NaN,air/Subsystem/Subtract,0,
