GammaKind,Policy,ExcessMean,ExcessMax,MaxSlewUsed,Steps
const,openloop,5.05641701876428,5.05641701876428,0,250
const,sweepcal,5.95755376727801,5.99092044447708,0.015,250
const,rl,5.9439854032655,5.94568916413677,0.015,250
const,purerl,4.04341012508824,4.20321382909449,0.015,250
const,hybrid,5.9933453284635,6.06840437237534,0.015,250
const,known,0.0110510587169232,0.0110510587169232,0.015,250
const,est,0.916449837757049,0.924766649134327,0.015,250
const,interfinfer,1.52961249286663,1.9070903998539,0.015,250
sin,openloop,4.98705071113838,4.98705071113838,0,250
sin,sweepcal,6.52874570661147,6.56983137999064,0.015,250
sin,rl,6.61038723466613,6.64830564608024,0.015,250
sin,purerl,4.09577217453786,4.1261323224706,0.015,250
sin,hybrid,6.42676413474884,6.57064326840493,0.015,250
sin,known,0.0118180644574081,0.0118180644574081,0.015,250
sin,est,1.14163802237437,1.49627981221299,0.015,250
sin,interfinfer,1.3429142733194,1.86365104373902,0.015,250
square,openloop,4.95714163657801,4.95714163657801,0,250
square,sweepcal,6.74420686862762,6.81600277186168,0.015,250
square,rl,6.82419611952688,6.84608516901133,0.015,250
square,purerl,4.08259603483636,4.13293026480136,0.015,250
square,hybrid,6.62430729043207,6.81185217490505,0.015,250
square,known,0.0135243779098955,0.0135243779098955,0.015,250
square,est,1.25800646536196,1.63532467333468,0.015,250
square,interfinfer,1.28241546686216,1.83011285065617,0.015,250
triangle,openloop,5.00405886414412,5.00405886414412,0,250
triangle,sweepcal,6.41772541928997,6.45223528875772,0.015,250
triangle,rl,6.48793992520351,6.52893738553551,0.015,250
triangle,purerl,4.04109671572427,4.12417275435318,0.015,250
triangle,hybrid,6.32637820749326,6.44862068602889,0.015,250
triangle,known,0.0116867623872365,0.0116867623872365,0.015,250
triangle,est,1.04262314577257,1.29522032636383,0.015,250
triangle,interfinfer,1.14280722418942,1.40171837085122,0.015,250
turb,openloop,5.09938397753939,5.13024466094875,0,250
turb,sweepcal,6.8037040590993,7.21990311410433,0.015,250
turb,rl,6.90942292013259,7.42513436450493,0.015,250
turb,purerl,4.24372246662969,4.28016837445743,0.015,250
turb,hybrid,6.63359205366084,6.88134672536137,0.015,250
turb,known,0.110278141181293,0.1175802683189,0.015,250
turb,est,0.784222206975752,0.836695836657183,0.015,250
turb,interfinfer,0.975514169780678,1.2820033422261,0.015,250
composite,openloop,5.02035915003304,5.02449885280624,0,250
composite,sweepcal,6.84187120378273,6.93317318066012,0.015,250
composite,rl,6.90754732888853,7.07262693725548,0.015,250
composite,purerl,4.15897222368384,4.20769887824773,0.015,250
composite,hybrid,6.66176009217523,6.75152620170103,0.015,250
composite,known,0.0268235663245423,0.027730840118634,0.015,250
composite,est,1.20801340973856,1.61447125694601,0.015,250
composite,interfinfer,1.06228473068494,1.46742463157449,0.015,250
sector,openloop,5.01666682375601,5.01666682375601,0,250
sector,sweepcal,6.4722107407821,6.48921545482196,0.015,250
sector,rl,6.6416993413456,6.69192894643998,0.015,250
sector,purerl,4.00219209993111,4.09418986477226,0.015,250
sector,hybrid,6.49869293650148,6.51444770515113,0.015,250
sector,known,0.0134216591566722,0.0134216591566722,0.015,250
sector,est,0.837825317040636,0.976608283305963,0.015,250
sector,interfinfer,0.723061916868856,0.953264661606174,0.015,250
