WindKind,Policy,ExcessMean,ExcessMax,MaxAccelUsed,Steps,EnergyOn
const,openloop,6.43085866623003,6.43085866623003,0,250,1
const,sweepcal,4.88096617599562,4.89126045428085,2,250,1
const,hybrid,4.88300032652706,4.89679207192818,2,250,1
const,rl,6.28718656690788,6.29425461946459,2,250,1
const,known,0.140255176455399,0.140255176455399,2,250,1
const,est,7.71798660676164,8.39258910288735,2,250,1
const,windinfer,0.961255135921231,0.961715044948759,2,250,1
sin,openloop,6.93064701995163,6.93064701995163,0,250,1
sin,sweepcal,5.28091457198968,5.28546506841165,2,250,1
sin,hybrid,5.3665862253757,5.40929101552823,2,250,1
sin,rl,6.50952420612291,6.519143786143,2,250,1
sin,known,0.178961688730018,0.178961688730018,2,250,1
sin,est,6.16128687009892,6.31309916624998,2,250,1
sin,windinfer,3.34112290760686,3.41444614874137,2,250,1
square,openloop,7.07949656344055,7.07949656344055,0,250,1
square,sweepcal,6.75854752435774,6.79430943764432,2,250,1
square,hybrid,7.20091433033108,7.4020413491863,2,250,1
square,rl,6.99824174775455,7.00801161169388,2,250,1
square,known,0.237963907660944,0.237963907660944,2,250,1
square,est,5.8924080603134,5.93374618189448,2,250,1
square,windinfer,4.05933680676845,4.16060129920136,2,250,1
triangle,openloop,6.79123945817912,6.79123945817912,0,250,1
triangle,sweepcal,5.14565682570698,5.15065855915354,2,250,1
triangle,hybrid,5.21183899205845,5.25370036084107,2,250,1
triangle,rl,6.46189469057509,6.50269817332068,2,250,1
triangle,known,0.17104756197768,0.17104756197768,2,250,1
triangle,est,7.58794572022276,8.96689396161108,2,250,1
triangle,windinfer,3.00027988486646,3.09855409401856,2,250,1
turb,openloop,6.16908460798365,6.25709372403154,0,250,1
turb,sweepcal,5.749135293661,6.19170774126923,2,250,1
turb,hybrid,5.63715807731572,6.00865309162755,2,250,1
turb,rl,6.52141349100005,6.77121048251596,2,250,1
turb,known,1.01572917318986,1.06873959714742,2,250,1
turb,est,6.75736804585094,7.67146066337706,2,250,1
turb,windinfer,2.59799570158568,2.87141038235038,2,250,1
composite,openloop,6.80128433734845,6.87109074614478,0,250,1
composite,sweepcal,5.2902485143959,5.37744583199725,2,250,1
composite,hybrid,5.32631873904393,5.37475940473373,2,250,1
composite,rl,6.29067862542392,6.37219510731108,2,250,1
composite,known,0.380378073900652,0.39432577636732,2,250,1
composite,est,6.47865931052085,7.21163758653633,2,250,1
composite,windinfer,3.26025693056135,3.68317508820382,2,250,1
sector,openloop,6.49862418884429,6.49862418884429,0,250,1
sector,sweepcal,5.26577351151296,5.33964555673543,2,250,1
sector,hybrid,5.34075460609363,5.44667911109125,2,250,1
sector,rl,6.03344175755944,6.04049669323181,2,250,1
sector,known,0.171381738484254,0.171381738484254,2,250,1
sector,est,6.35077709556297,6.46489630367698,2,250,1
sector,windinfer,2.39988007047249,2.43091693025947,2,250,1
