V,v_trim_mps,P_steady_W,n_per_motor_krpm,sat_margin_ratio,vStar_mps,kValley_W_per_mps2,hover_W
19.6,0,279.058697223709,0.76,0,4.3,7.21198452731782,279.058697223709
19.6,2,235.05480299617,0.76,0,4.3,7.21198452731782,279.058697223709
19.6,4,216.866905662904,0.76,0,4.3,7.21198452731782,279.058697223709
19.6,5,218.250293265174,0.76,0,4.3,7.21198452731782,279.058697223709
19.6,6,227.177845615225,0.76,0,4.3,7.21198452731782,279.058697223709
19.6,8,270.206026664222,0.76,0,4.3,7.21198452731782,279.058697223709
19.6,10,352.141811719696,0.76,0,4.3,7.21198452731782,279.058697223709
19.6,12,480.379127450489,0.76,0,4.3,7.21198452731782,279.058697223709
22.05,0,381.53229504977,0.855,0,4.85,8.12888314151473,381.53229504977
22.05,2,324.243932964461,0.855,0,4.85,8.12888314151473,381.53229504977
22.05,4,295.6384939815,0.855,0,4.85,8.12888314151473,381.53229504977
22.05,5,292.88500623011,0.855,0,4.85,8.12888314151473,381.53229504977
22.05,6,298.304461063567,0.855,0,4.85,8.12888314151473,381.53229504977
22.05,8,335.846400862263,0.855,0,4.85,8.12888314151473,381.53229504977
22.05,10,413.798275185788,0.855,0,4.85,8.12888314151473,381.53229504977
22.05,12,539.069089499274,0.855,0,4.85,8.12888314151473,381.53229504977
24.5,0,512.683535900176,0.95,0,5.4,9.01228085688165,512.683535900176
24.5,2,440.467142267073,0.95,0,5.4,9.01228085688165,512.683535900176
24.5,4,399.770005936423,0.95,0,5.4,9.01228085688165,512.683535900176
24.5,5,392.06057602264,0.95,0,5.4,9.01228085688165,512.683535900176
24.5,6,393.192426884918,0.95,0,5.4,9.01228085688165,512.683535900176
24.5,8,423.85950299287,0.95,0,5.4,9.01228085688165,512.683535900176
24.5,10,496.686263471261,0.95,0,5.4,9.01228085688165,512.683535900176
24.5,12,618.070411211265,0.95,0,5.4,9.01228085688165,512.683535900176
26.95,0,614.182777255901,1.0125580277247,0.0602621889497733,5.65,9.92387971430858,614.182777255901
26.95,2,531.261758866392,1.01257244513951,0.0602358130505727,5.65,9.92387971430858,614.182777255901
26.95,4,481.980622067181,1.01278863421805,0.0598402633587094,5.65,9.92387971430858,614.182777255901
26.95,5,470.971094472254,1.01312076139078,0.0592324301298961,5.65,9.92387971430858,614.182777255901
26.95,6,469.560012402328,1.01372389455214,0.0581281342494272,5.65,9.92387971430858,614.182777255901
26.95,8,497.687913693819,1.01622941456732,0.0535339500749852,5.65,9.92387971430858,614.182777255901
26.95,10,571.92153134787,1.02145394692045,0.0439191323184308,5.65,9.92387971430858,614.182777255901
26.95,12,699.529118615272,1.03075851362948,0.0266786342027793,5.65,9.92387971430858,614.182777255901
29.4,0,614.978708716755,1.0125580277247,0.20827771206998,5.65,9.9104931039059,614.978708716755
29.4,2,532.057140756916,1.01257244513951,0.208255490566263,5.65,9.9104931039059,614.978708716755
29.4,4,482.767757702887,1.01278863421805,0.207922242820615,5.65,9.9104931039059,614.978708716755
29.4,5,471.745541627333,1.01312076139078,0.207410147735223,5.65,9.9104931039059,614.978708716755
29.4,6,470.311355906019,1.01372389455214,0.206479786467691,5.65,9.9104931039059,614.978708716755
29.4,8,498.342425810498,1.01622941456732,0.202609219631931,5.65,9.9104931039059,614.978708716755
29.4,10,572.369669307044,1.02145394692045,0.194508805428375,5.65,9.9104931039059,614.978708716755
29.4,12,699.594592856,1.03075851362948,0.179983810847257,5.65,9.9104931039059,614.978708716755
