chunk,pass,arm,estMode,caliber,excess_pct,moe,margin_pp,delta_excess_pp,delta_margin_pp,bias_meas_pct,rowsN,runtime_s
F1A,1,openloop,l1,true,6.3418032863960763,0.9403639670345203,NaN,-0.012426290273740648,NaN,-0.21513022941100748,9000,641.6616904
F1A,1,openloop,l1,est,6.3293769961223356,0.94047386362140395,NaN,-0.012426290273740648,NaN,-0.21513022941100748,9000,641.6616904
F1A,1,openloop,l1,diff,-0.012426290273740648,-0.000109896586883651,NaN,-0.012426290273740648,NaN,-0.21513022941100748,9000,641.6616904
F1A,1,known,l1,true,0.42283122178578497,0.99578949112824799,5.9189720646102915,-0.022069940465246518,0.0096436501915055928,-0.25629619068573228,9000,644.09333379999998
F1A,1,known,l1,est,0.40076128132053845,0.99600838403806902,5.9286157148017971,-0.022069940465246518,0.0096436501915055928,-0.25629619068573228,9000,644.09333379999998
F1A,1,known,l1,diff,-0.022069940465246518,-0.00021889290982102239,0.0096436501915055928,-0.022069940465246518,0.0096436501915055928,-0.25629619068573228,9000,644.09333379999998
F1B,1,sweepcal,l1,true,2.0823211139018043,0.9796015500903591,4.2594821724942715,-0.025406265045575971,0.012979974771836211,-0.24311403270734538,9000,640.64045109999995
F1B,1,sweepcal,l1,est,2.0569148488562283,0.9798454141798969,4.2724621472661077,-0.025406265045575971,0.012979974771836211,-0.24311403270734538,9000,640.64045109999995
F1B,1,sweepcal,l1,diff,-0.025406265045575971,-0.00024386408953780414,0.012979974771836211,-0.025406265045575971,0.012979974771836211,-0.24311403270734538,9000,640.64045109999995
F1C,1,purerl_off,l1,true,1.0717419306297791,0.98939622578815978,5.2700613557662974,0.010850811965607443,-0.023277102239348757,0.33101828223203378,9000,804.98755900000003
F1C,1,purerl_off,l1,est,1.0825927425953865,0.98929001806124839,5.2467842535269487,0.010850811965607443,-0.023277102239348757,0.33101828223203378,9000,804.98755900000003
F1C,1,purerl_off,l1,diff,0.010850811965607443,0.00010620772691138924,-0.023277102239348757,0.010850811965607443,-0.023277102239348757,0.33101828223203378,9000,804.98755900000003
F1D,1,purerl_on,l1,true,0.62295243242891341,0.99380904239669132,5.7188508539671625,0.0066006534014306784,-0.019026943675171104,0.11024089796293444,9005,835.6910441
F1D,1,purerl_on,l1,est,0.62955308583034408,0.99374385489625128,5.6998239102919914,0.0066006534014306784,-0.019026943675171104,0.11024089796293444,9005,835.6910441
F1D,1,purerl_on,l1,diff,0.0066006534014306784,6.5187500440044843e-05,-0.019026943675171104,0.0066006534014306784,-0.019026943675171104,0.11024089796293444,9005,835.6910441
F2A,1,openloop,truth,true,6.3418032863960763,0.9403639670345203,NaN,-0.012440246721933335,NaN,-0.21255283332541472,9000,718.09335269999997
F2A,1,openloop,truth,est,6.3293630396741429,0.94047398706496066,NaN,-0.012440246721933335,NaN,-0.21255283332541472,9000,718.09335269999997
F2A,1,openloop,truth,diff,-0.012440246721933335,-0.00011002003044036091,NaN,-0.012440246721933335,NaN,-0.21255283332541472,9000,718.09335269999997
F2A,1,known,truth,true,0.42283122178578497,0.99578949112824799,5.9189720646102915,-0.018997230514176566,0.0065569837922430096,-0.23226185629085819,9000,724.24677169999995
F2A,1,known,truth,est,0.40383399127160841,0.99597790268341035,5.9255290484025345,-0.018997230514176566,0.0065569837922430096,-0.23226185629085819,9000,724.24677169999995
F2A,1,known,truth,diff,-0.018997230514176566,-0.00018841155516235997,0.0065569837922430096,-0.018997230514176566,0.0065569837922430096,-0.23226185629085819,9000,724.24677169999995
F2B,1,sweepcal,truth,true,2.1450618861278734,0.97899984740800094,4.1967414002682029,-0.022860160818356512,0.010419914096423177,-0.17522319390559407,9001,713.96217030000003
F2B,1,sweepcal,truth,est,2.1222017253095169,0.97921899753965491,4.207161314364626,-0.022860160818356512,0.010419914096423177,-0.17522319390559407,9001,713.96217030000003
