Policy,LatencySec,Seed,MOE_energy,MOE_overall,EnergyExcessPercent,FinalErr,MeanTrackLag
openloop,0.1,11,0.950935508331506,0.784052038773822,5.15960243766501,1.85149403208472,0
tracker,0.1,11,0.943480769714207,0.77240980783495,5.99050156612236,2.16766765998544,0.0236159234168388
esc,0.1,11,0.954132007930646,0.808006819528341,4.80730042469011,1.3714665284501,0
spsa,0.1,11,0.946686013844487,0.786084574535206,5.63164400612674,3.35516898524048,0.138791202349132
bayes,0.1,11,0.900009933998606,0.727308720713264,11.109884705067,5.39357294576359,2.30808333333334
qnewton,0.1,11,0.944021481016855,0.783915273565523,5.92979292408126,2.97905261639644,0.209657988617795
gtrack,0.1,11,0.963146134123439,0.811654891019717,3.82640438152221,0.280101208690785,0.00066355932621131
est,0.1,11,0.937368610610188,0.754401652291031,6.68161795486643,1.66179554639218,0.00640869060039397
openloop,0.1,12,0.950935508331506,0.784052038773822,5.15960243766501,1.85149403208472,0
tracker,0.1,12,0.944368161245348,0.771248031719029,5.8909057968758,0.446152461709949,0.0194653857109634
esc,0.1,12,0.932854534531777,0.761048293722611,7.19784950200459,3.55180390978232,0
spsa,0.1,12,0.940289497821542,0.764616689022731,6.35022536323067,2.56186310903397,0.137119897248978
bayes,0.1,12,0.917523576010208,0.75160532561619,8.98902503938213,0.518198802743431,1.89875
qnewton,0.1,12,0.949494300331259,0.785009617619929,5.31922094225537,1.86969745343784,0.216203294018558
gtrack,0.1,12,0.954384244971698,0.803505489461724,4.77960059259517,1.32902011716817,5.53155322850851e-05
est,0.1,12,0.938360064705412,0.765925164140041,6.56890010701156,2.15577334249501,0.00966687871837453
openloop,0.1,13,0.950935508331506,0.784052038773822,5.15960243766501,1.85149403208472,0
tracker,0.1,13,0.936580103898009,0.765517354639369,6.77143320021847,0.195384460079026,0.0227901565796488
esc,0.1,13,0.939394663418877,0.759562265910204,6.45153085717485,4.27167594604682,0
spsa,0.1,13,0.939335913443542,0.765466080815677,6.45818877871579,3.59386269700227,0.139456819689958
bayes,0.1,13,0.903207618589092,0.722152472112892,10.7165151642662,4.00912084376791,2.84316666666667
qnewton,0.1,13,0.946687733572851,0.780179198759731,5.63145211842407,2.56120777773272,0.261531591011259
gtrack,0.1,13,0.95618477521032,0.801326559233362,4.58229684529779,1.65666696900019,0
est,0.1,13,0.925016322418475,0.739658477734625,8.10620048146594,8.36682079234987,0.000989804042314162
openloop,0.3,11,0.950935508331506,0.784052038773822,5.15960243766501,1.85149403208472,0
tracker,0.3,11,0.951166172923312,0.776464979744052,5.13410048284232,5.77021515677464,0.0518809569639768
esc,0.3,11,0.945717031988085,0.782521430184722,5.73987420928666,2.72618721231404,0
spsa,0.3,11,0.940398357102533,0.760676816302835,6.33791440056387,5.2239831411104,0.194249193942668
bayes,0.3,11,0.917951550621982,0.76688691219746,8.93821131653673,1.99814411367715,1.71183333333334
qnewton,0.3,11,0.949941712427626,0.787474792058715,5.26961674779466,2.62324056465117,0.247397964224957
gtrack,0.3,11,0.943670803219739,0.770895283226468,5.96915752697545,1.59815253238079,0.00228034053096345
est,0.3,11,0.934344671482213,0.763718525096551,7.02688531563345,1.56061257798164,0.0332584583891183
openloop,0.3,12,0.950935508331506,0.784052038773822,5.15960243766501,1.85149403208472,0
tracker,0.3,12,0.949086582478435,0.784130840815395,5.36446499839984,0.312172242238685,0.0536215421511898
esc,0.3,12,0.940423515569456,0.760455208210494,6.33506961961371,4.79124192546021,0
spsa,0.3,12,0.940186981748531,0.768811420632892,6.36182157513289,4.72119907962792,0.1918964262234
bayes,0.3,12,0.918753289720575,0.75867215308785,8.84314768594023,2.78318606892669,2.15175
qnewton,0.3,12,0.94392581848075,0.777105220201324,5.94052842091997,0.572951816088668,0.248034404040364
gtrack,0.3,12,0.935828946894618,0.757685627986398,6.85713487687278,7.39063769763954,0.00939326462035534
