Policy,TurnRadius,Seed,MOE_energy,MOE_overall,EnergyExcessPercent,FinalErr,MeanTrackLag
openloop,50,11,0.947018371339372,0.78034937947321,5.5945724247879,4.32407877756785,0
tracker,50,11,0.939591707872147,0.772719772040495,6.42920660343597,3.64161692955383,0.0341221612383875
esc,50,11,0.951919401266629,0.790373527575521,5.05091068313086,4.38305405807611,0
spsa,50,11,0.947303590039182,0.779771786928024,5.56277950542115,0.847346985953732,0.189282719013851
bayes,50,11,0.924343237362741,0.763034347987373,8.18492087994456,10.1324517770188,1.56566666666667
qnewton,50,11,0.939960134535315,0.762576679250043,6.3874906242026,4.66200868079797,0.341571869971595
gtrack,50,11,0.938737167638543,0.775421232609607,6.52608999338632,4.77560134908557,0.000559474124574011
est,50,11,0.936132497929767,0.752359512221139,6.82248530111643,8.5974342198399,0.0256331432928282
openloop,50,12,0.947018371339372,0.78034937947321,5.5945724247879,4.32407877756785,0
tracker,50,12,0.937460861659282,0.764326336916153,6.6711199260122,8.03951465436785,0.0406546825084197
esc,50,12,0.938321582943121,0.760244521804234,6.57327063323209,4.12477139714561,0
spsa,50,12,0.942472057237883,0.76872246597439,6.10394147182627,8.41473066403965,0.180495576898506
bayes,50,12,0.927305300418674,0.763895462474813,7.83934908476254,9.21464966134118,1.77433333333334
qnewton,50,12,0.942713907210141,0.777215553108879,6.07672087488251,4.46399252542147,0.250853183045652
gtrack,50,12,0.916474926772902,0.744901582092972,9.11373249688428,9.55314066040959,0.00439461271582041
est,50,12,0.931404973363835,0.752811357339344,7.36468331153839,9.78219121811353,0.0360916239666472
openloop,50,13,0.947018371339372,0.78034937947321,5.5945724247879,4.32407877756785,0
tracker,50,13,0.946226941424707,0.781271817392891,5.6828923613534,3.47154951044472,0.0321700307381476
esc,50,13,0.939624098630204,0.767922443783704,6.4255377717337,1.21792767565615,0
spsa,50,13,0.939194812635913,0.76780702202555,6.47418262388329,8.3397710119424,0.190854403815851
bayes,50,13,0.918642442244749,0.760209826201711,8.85628118340034,9.72335886440553,2.02741666666667
qnewton,50,13,0.942298051918704,0.77420847875803,6.12353468881776,2.27392650044293,0.23762748544747
gtrack,50,13,0.912565979679555,0.740555224743138,9.58111766900926,6.15681543352218,0.00225173748237089
est,50,13,0.934128731331987,0.763885117806969,7.05162644704074,0.70788043337029,0.0812030512045143
openloop,100,11,0.950935508331506,0.784052038773822,5.15960243766501,1.85149403208472,0
tracker,100,11,0.951166172923312,0.776464979744052,5.13410048284232,5.77021515677464,0.0518809569639768
esc,100,11,0.945717031988085,0.782521430184722,5.73987420928666,2.72618721231404,0
spsa,100,11,0.940398357102533,0.760676816302835,6.33791440056387,5.2239831411104,0.194249193942668
bayes,100,11,0.917951550621982,0.76688691219746,8.93821131653673,1.99814411367715,1.71183333333334
qnewton,100,11,0.949941712427626,0.787474792058715,5.26961674779466,2.62324056465117,0.247397964224957
gtrack,100,11,0.943670803219739,0.770895283226468,5.96915752697545,1.59815253238079,0.00228034053096345
est,100,11,0.934344671482213,0.763718525096551,7.02688531563345,1.56061257798164,0.0332584583891183
openloop,100,12,0.950935508331506,0.784052038773822,5.15960243766501,1.85149403208472,0
tracker,100,12,0.949086582478435,0.784130840815395,5.36446499839984,0.312172242238685,0.0536215421511898
esc,100,12,0.940423515569456,0.760455208210494,6.33506961961371,4.79124192546021,0
spsa,100,12,0.940186981748531,0.768811420632892,6.36182157513289,4.72119907962792,0.1918964262234
bayes,100,12,0.918753289720575,0.75867215308785,8.84314768594023,2.78318606892669,2.15175
qnewton,100,12,0.94392581848075,0.777105220201324,5.94052842091997,0.572951816088668,0.248034404040364
gtrack,100,12,0.935828946894618,0.757685627986398,6.85713487687278,7.39063769763954,0.00939326462035534
est,100,12,0.933129604424442,0.75530219318246,7.16624949615701,8.35730017283469,0.0270781370526345
openloop,100,13,0.950935508331506,0.784052038773822,5.15960243766501,1.85149403208472,0
tracker,100,13,0.933821287472492,0.760502765887249,7.0868712691943,6.91141707728841,0.0413270787266017
esc,100,13,0.944126840217777,0.777894826532556,5.91797175995278,1.37748552387789,0
spsa,100,13,0.940788622113925,0.763242574182103,6.29380250720174,3.14312222960496,0.186936227699989
bayes,100,13,0.899733025736174,0.72222540622116,11.144080676797,1.06329314524877,2.75041666666667
qnewton,100,13,0.941858892000659,0.769897819742077,6.17301683863069,2.96037933008054,0.351013773649121
gtrack,100,13,0.930695742585624,0.773814932100585,7.44649988640079,1.08545135683455,0.00759329446780957
est,100,13,0.927191080250584,0.739418905707038,7.85263375589621,6.26927852987961,0.0127486844028511
openloop,150,11,0.942890431558917,0.77361728970168,6.05686159596096,4.52317471790047,0
tracker,150,11,0.946128059393814,0.780677326857346,5.6939375247682,2.88918901452626,0.0306158761854217
esc,150,11,0.943042377766146,0.777928874095322,6.03977335236767,0.718544934377146,0
spsa,150,11,0.940747264581055,0.772339861608999,6.29847544072663,4.39783879517952,0.188494985114802
bayes,150,11,0.91559281152014,0.76168721175334,9.21885661593611,3.29917047280883,1.6205
qnewton,150,11,0.931430104767651,0.761324459901187,7.36178644874847,2.41003224580595,0.369005754066569
gtrack,150,11,0.924508667772916,0.733420870992962,8.16556240721227,7.65221971605359,0.00147759566176279
est,150,11,0.931392046132892,0.761784123940454,7.36617347678308,7.50808081649081,0.028732044995073
openloop,150,12,0.942890431558917,0.77361728970168,6.05686159596096,4.52317471790047,0
tracker,150,12,0.936836055806199,0.772422640978344,6.74226229897238,2.0785170756713,0.0251791717444427
esc,150,12,0.943658303123672,0.777202575435522,5.97056123915061,0.512656156275964,0
spsa,150,12,0.935536579390459,0.769098958625855,6.89052913906813,3.92749917825789,0.188022926998937
bayes,150,12,0.904865519499652,0.736222586965949,10.5136595936325,6.68383485576273,2.18191666666667
qnewton,150,12,0.934172089370155,0.76823138613567,7.0466578244944,2.15544424009287,0.362119309137948
gtrack,150,12,0.901318113664258,0.743206855229879,10.94861901028,4.08958172621585,0.003069044686717
est,150,12,0.941450639789922,0.780906735943563,6.21905788105286,1.08817915216074,0.0279155053311801
openloop,150,13,0.942890431558917,0.77361728970168,6.05686159596096,4.52317471790047,0
tracker,150,13,0.949284508250674,0.796063198968278,5.3424965127455,1.5690467824914,0.0390604537038711
esc,150,13,0.94932107326446,0.782916603056209,5.33843903425311,1.83781566228096,0
spsa,150,13,0.936922086088298,0.764224202620368,6.73246098563601,6.30855938318242,0.189135017612215
bayes,150,13,0.906221884584595,0.746448580776175,10.348251020046,7.12312784257449,1.68858333333334
qnewton,150,13,0.943895416176037,0.780406070024471,5.94394070174188,0.341635354789783,0.241202350097633
gtrack,150,13,0.930978122213959,0.764223568020649,7.41390975138059,3.67332018695383,0.00666449566016177
est,150,13,0.927885542285047,0.74586576321062,7.77191306778651,6.0753520478044,0.0207887286673686
openloop,500,11,0.945532972934803,0.781346043478055,5.76045771266322,0.291702276949308,0
tracker,500,11,0.961947119080041,0.814502728992197,3.95581837766211,0.382219001224268,0.0456249899276919
esc,500,11,0.953021847987339,0.785218784001028,4.92938877653992,3.30835944058953,0
spsa,500,11,0.959259330707085,0.808254224592813,4.24709648254187,2.47725947906254,0.187533127064993
bayes,500,11,0.925515525102216,0.76688862341098,8.04789037866849,14.4017102041917,1.72741666666667
qnewton,500,11,0.953803600304957,0.795253232406108,4.84338701177822,2.08411206496388,0.25251959419084
gtrack,500,11,0.95834464866487,0.799148537318614,4.34659403515876,1.9623711086391,0.000992780766245377
est,500,11,0.939163118598636,0.770902663432614,6.47777581940626,0.663256771184897,0.0309187680921084
openloop,500,12,0.945532972934803,0.781346043478055,5.76045771266322,0.291702276949308,0
tracker,500,12,0.959145457131942,0.800542238965089,4.25947311372581,2.867672113967,0.0282675795109839
esc,500,12,0.958965999454182,0.798183180708987,4.27898388151132,2.6082030863278,0
spsa,500,12,0.96189238339551,0.81493436219342,3.96173389688032,1.62708449883347,0.185404279929637
bayes,500,12,0.911431797126741,0.75237562506414,9.71748003004358,2.9009637089964,1.75808333333334
qnewton,500,12,0.953901655851528,0.792832866776779,4.83260972089628,2.12832735350216,0.270476998805057
gtrack,500,12,0.925613059950578,0.750695655674365,8.03650502223832,8.55058237605436,0.00089777443532439
est,500,12,0.942527204705768,0.770686757050036,6.09773330756788,4.88278965398016,0.0297076435674603
openloop,500,13,0.945532972934803,0.781346043478055,5.76045771266322,0.291702276949308,0
tracker,500,13,0.962380859957086,0.807888336844118,3.9089659414664,0.138962269795616,0.0317093589444356
esc,500,13,0.958153481037573,0.800736147920771,4.36741292398289,2.72644725818572,0
spsa,500,13,0.959314310317915,0.806935999620023,4.2411219393362,1.87061918794613,0.191245212130179
bayes,500,13,0.919430284615474,0.756086645369383,8.76300430088859,1.46517151418864,2.072
qnewton,500,13,0.956697126033825,0.792696292045983,4.52628870598745,3.93294469843652,0.176647487528982
gtrack,500,13,0.934318782208412,0.758117249861472,7.02985095047965,2.49416309900595,0.00634865562368487
est,500,13,0.944115423316837,0.765565149435294,5.91925259380164,1.309953458641,0.013593299985824
