PythonCase,MaximumAbsoluteDifference,Passed
v1_cubic_10.csv,3.5527136788005e-15,1
v1_cubic_15.csv,3.5527136788005e-15,1
v1_cubic_2.csv,1.77635683940025e-15,1
v1_debug_10.csv,0,1
v1_debug_15.csv,0,1
v1_debug_2.csv,0,1
v2_cubic_10.csv,3.5527136788005e-15,1
v2_cubic_15.csv,8.88178419700125e-16,1
v2_cubic_2.csv,5.32907051820075e-15,1
v2_debug_10.csv,0,1
v2_debug_15.csv,3.5527136788005e-15,1
v2_debug_2.csv,1.77635683940025e-15,1
v3_cubic_6.3.csv,3.5527136788005e-15,1
v3_debug_6.csv,2.22044604925031e-16,1
