Curve,Version,Method,Scenario,Seed,InitialSpeed,RegretPercent,SpeedMeanError,PowerPassed,SpeedPassed,BoundsPassed,FixedBaselineRegret,ReconvergenceSeconds
debug,1,regression,clean,1,2,0.035574383201756,0.101772158192758,1,1,1,4.80000000000001,NaN
debug,1,regression,clean,1,10,0.0355030556963835,0.0854760315478091,1,1,1,4.80000000000001,NaN
debug,1,regression,clean,1,15,0.0358917385213033,0.0778574678910179,1,1,1,24.3,NaN
debug,2,regression,clean,1,2,0.0237722649293991,0.00883610887911008,1,1,1,4.80000000000001,NaN
debug,2,regression,clean,1,10,0.0220357207873065,0.0858273888619753,1,1,1,4.80000000000001,NaN
debug,2,regression,clean,1,15,0.0432011261954206,0.253774681952177,1,1,1,24.3,NaN
debug,3,regression,noise,11,10,0.191119396331452,0.636224915413792,1,1,1,4.80000000000001,NaN
debug,3,regression,noise,12,10,0.397199948634617,1.0249412954255,1,0,1,4.80000000000001,NaN
debug,3,regression,noise,13,10,0.0494138470447575,0.0322521071184613,1,1,1,4.80000000000001,NaN
debug,3,regression,noise,14,10,0.059318546173079,0.113632372525674,1,1,1,4.80000000000001,NaN
debug,3,regression,noise,15,10,0.217882522594521,0.474521640640675,1,1,1,4.80000000000001,NaN
debug,3,regression,noise,16,10,0.398685396247064,0.641476925914486,1,1,1,4.80000000000001,NaN
debug,3,regression,noise,17,10,0.175386113234523,0.566273519048929,1,1,1,4.80000000000001,NaN
debug,3,regression,noise,18,10,0.328863404278678,0.974940136497749,1,0,1,4.80000000000001,NaN
debug,3,regression,noise,19,10,0.157404050261216,0.400866619025741,1,1,1,4.80000000000001,NaN
debug,3,regression,noise,20,10,0.190512874159519,0.229957464090361,1,1,1,4.80000000000001,NaN
debug,3,regression,delay,11,10,0.0293303240348911,0.164055179102233,1,1,1,4.80000000000001,NaN
debug,3,regression,combined,11,10,0.199263789678073,0.587301776784236,1,1,1,4.80000000000001,NaN
debug,3,regression,combined,12,10,0.548766023663859,1.27520003254249,1,0,1,4.80000000000001,NaN
debug,3,regression,combined,13,10,0.0945288547960225,0.0785780376148618,1,1,1,4.80000000000001,NaN
debug,3,regression,combined,14,10,0.10069425128107,0.42327352813686,1,1,1,4.80000000000001,NaN
debug,3,regression,combined,15,10,0.435805931986673,1.02938470679145,1,0,1,4.80000000000001,NaN
debug,3,regression,combined,16,10,0.218730325456686,0.52767842713137,1,1,1,4.80000000000001,NaN
debug,3,regression,combined,17,10,0.228799448894584,0.681220374328689,1,1,1,4.80000000000001,NaN
debug,3,regression,combined,18,10,0.401892828171968,1.09862328689783,1,0,1,4.80000000000001,NaN
debug,3,regression,combined,19,10,0.245512421215386,0.825656395674404,1,0,1,4.80000000000001,NaN
debug,3,regression,combined,20,10,0.158167719114667,0.127176356571325,1,1,1,4.80000000000001,NaN
debug,3,regression,shift,11,10,0.205784500543092,0.607453040374472,1,1,1,0.29999999999999,29
debug,3,regression,shift,12,10,0.187421201943907,0.61720910340716,1,1,1,0.29999999999999,23.7
debug,3,regression,shift,13,10,0.0522716053839064,0.344512969090017,1,1,1,0.29999999999999,26.4
debug,3,regression,shift,14,10,0.0318471342069511,0.106639025084518,1,1,1,0.29999999999999,30.3
debug,3,regression,shift,15,10,0.196225651148773,0.624392239420339,1,1,1,0.29999999999999,30.4
debug,3,regression,shift,16,10,0.0598140879334719,0.173164672977361,1,1,1,0.29999999999999,35.5
debug,3,regression,shift,17,10,0.258035391711914,0.660886297058439,1,1,1,0.29999999999999,38.1
debug,3,regression,shift,18,10,0.379322132595618,0.123875763788552,1,1,1,0.29999999999999,21.1
debug,3,regression,shift,19,10,0.1996418306908,0.717509863445347,1,0,1,0.29999999999999,23.7
debug,3,regression,shift,20,10,0.426145393776853,0.776450453099352,1,0,1,0.29999999999999,24.4
cubic,1,regression,clean,1,2,0.0852498277314188,0.087120899070805,1,1,1,7.25773258898959,NaN
cubic,1,regression,clean,1,10,0.0852966141009145,0.0881995512897892,1,1,1,13.7210081832107,NaN
cubic,1,regression,clean,1,15,0.0845439919860199,0.0884680737781369,1,1,1,104.706093567662,NaN
cubic,2,regression,clean,1,2,0.0469599616738482,0.0684299122052962,1,1,1,7.25773258898959,NaN
cubic,2,regression,clean,1,10,0.0478793822693446,0.0725622827110879,1,1,1,13.7210081832107,NaN
cubic,2,regression,clean,1,15,0.0503798652379678,0.06509864722165,1,1,1,104.706093567662,NaN
cubic,3,regression,noise,11,10,0.149859145042414,0.308806417807246,1,1,1,13.7210081832107,NaN
cubic,3,regression,noise,12,10,0.42282260158577,0.672687916714259,1,1,1,13.7210081832107,NaN
cubic,3,regression,noise,13,10,0.100349713974329,0.136416859493747,1,1,1,13.7210081832107,NaN
cubic,3,regression,noise,14,10,0.0675987113205289,0.110547782865041,1,1,1,13.7210081832107,NaN
cubic,3,regression,noise,15,10,0.131105359114546,0.208167974790383,1,1,1,13.7210081832107,NaN
cubic,3,regression,noise,16,10,0.0573083697994212,0.0933475415845978,1,1,1,13.7210081832107,NaN
cubic,3,regression,noise,17,10,0.126918341253568,0.316774665921817,1,1,1,13.7210081832107,NaN
cubic,3,regression,noise,18,10,0.293707041372566,0.531835135258312,1,1,1,13.7210081832107,NaN
cubic,3,regression,noise,19,10,0.109644015694176,0.210579635489008,1,1,1,13.7210081832107,NaN
cubic,3,regression,noise,20,10,0.20562439424647,0.10723414871045,1,1,1,13.7210081832107,NaN
cubic,3,regression,delay,11,10,0.0502591756504616,0.0826528954577768,1,1,1,13.7210081832107,NaN
cubic,3,regression,combined,11,10,0.186823619033725,0.376269471433895,1,1,1,13.7210081832107,NaN
cubic,3,regression,combined,12,10,0.467373158743937,0.711278505006833,1,0,1,13.7210081832107,NaN
cubic,3,regression,combined,13,10,0.130119227060807,0.0874639844978036,1,1,1,13.7210081832107,NaN
cubic,3,regression,combined,14,10,0.068911589533919,0.143704618678247,1,1,1,13.7210081832107,NaN
cubic,3,regression,combined,15,10,0.151687144503607,0.236177364292477,1,1,1,13.7210081832107,NaN
cubic,3,regression,combined,16,10,0.0584945487156404,0.0253863380474032,1,1,1,13.7210081832107,NaN
cubic,3,regression,combined,17,10,0.140532102204941,0.342538550044785,1,1,1,13.7210081832107,NaN
cubic,3,regression,combined,18,10,0.309296549938275,0.546019026567731,1,1,1,13.7210081832107,NaN
cubic,3,regression,combined,19,10,0.111839310308971,0.215717151147452,1,1,1,13.7210081832107,NaN
cubic,3,regression,combined,20,10,0.221577844691094,0.138457196860457,1,1,1,13.7210081832107,NaN
cubic,3,regression,shift,11,10,0.0387876738246631,0.0176842169536462,1,1,1,0.379069589243608,35.1
cubic,3,regression,shift,12,10,0.226388589918877,0.669369485174503,1,1,1,0.379069589243608,41.8
cubic,3,regression,shift,13,10,0.0653269084662645,0.155975257751689,1,1,1,0.379069589243608,50.1
cubic,3,regression,shift,14,10,0.0489825695500873,0.297648264022787,1,1,1,0.379069589243608,48.3
cubic,3,regression,shift,15,10,0.30478414841425,0.879925311852281,1,0,1,0.379069589243608,NaN
cubic,3,regression,shift,16,10,0.446873091962835,1.11707258369577,1,0,1,0.379069589243608,NaN
cubic,3,regression,shift,17,10,0.0728256050646386,0.279289104143161,1,1,1,0.379069589243608,53.3
cubic,3,regression,shift,18,10,0.0919554491880682,0.0451505878295294,1,1,1,0.379069589243608,50.7
cubic,3,regression,shift,19,10,0.0269821696262931,0.128439235328212,1,1,1,0.379069589243608,30.4
cubic,3,regression,shift,20,10,0.0972755706726248,0.166901007861789,1,1,1,0.379069589243608,51.4
debug,1,demod,demod_comparison,11,10,0.0569528603423304,0.272664530302223,1,1,1,4.80000000000001,NaN
debug,3,demod,demod_comparison,11,10,0.0405216042694545,0.245461470395556,1,1,1,0.29999999999999,45.3
cubic,1,demod,demod_comparison,11,10,0.103578078466031,0.206404040316583,1,1,1,13.7210081832107,NaN
cubic,3,demod,demod_comparison,11,10,0.557954951011928,1.30412101553853,1,0,1,0.379069589243608,NaN
