Policy,Seed,MeanPowerW,EnergyWh,EnduranceHours,MinimumGroundSpeed,MaximumGroundSpeed,RateViolations,BoundViolations,BlockedFraction,RadialRms,PowerCoverage,WindMode,WindObservation
fixed,3001,487.742700,16.258090,0.307539,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
baseline,3001,487.742700,16.258090,0.307539,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
scripted,3001,471.120496,15.704017,0.318390,3.308769,9.079079,0,0,0.000000,0.000000,1.000000,constant,observable
td3_agent,3001,534.115659,17.803855,0.280838,3.300000,9.113943,0,0,0.000000,0.000000,1.000000,constant,observable
fixed,3002,459.170056,15.305669,0.326676,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
baseline,3002,459.170056,15.305669,0.326676,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
scripted,3002,457.041052,15.234702,0.328198,5.183170,7.251792,0,0,0.000000,0.000000,1.000000,constant,observable
td3_agent,3002,489.783205,16.326107,0.306258,3.300000,7.923951,0,0,0.000000,0.000000,1.000000,constant,observable
fixed,3003,457.914089,15.263803,0.327572,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
baseline,3003,457.914089,15.263803,0.327572,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
scripted,3003,456.891000,15.229700,0.328306,5.559067,6.996409,0,0,0.000000,0.000000,1.000000,constant,observable
td3_agent,3003,503.836607,16.794554,0.297716,3.300000,8.423943,0,0,0.000000,0.000000,1.000000,constant,observable
fixed,3004,483.992643,16.133088,0.309922,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
baseline,3004,483.992643,16.133088,0.309922,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
scripted,3004,465.638401,15.521280,0.322138,3.333754,8.959198,0,0,0.000000,0.000000,1.000000,constant,observable
td3_agent,3004,535.262738,17.842091,0.280236,3.300000,9.045660,0,0,0.000000,0.000000,1.000000,constant,observable
fixed,3005,458.354935,15.278498,0.327257,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
baseline,3005,458.354935,15.278498,0.327257,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
scripted,3005,456.866318,15.228877,0.328324,5.395958,7.176714,0,0,0.000000,0.000000,1.000000,constant,observable
td3_agent,3005,504.786717,16.826224,0.297155,3.300000,8.423943,0,0,0.000000,0.000000,1.000000,constant,observable
fixed,3006,457.587051,15.252902,0.327806,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
baseline,3006,457.587051,15.252902,0.327806,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
scripted,3006,456.753265,15.225109,0.328405,5.523090,7.027462,0,0,0.000000,0.000000,1.000000,constant,observable
td3_agent,3006,488.588306,16.286277,0.307007,3.300000,7.923951,0,0,0.000000,0.000000,1.000000,constant,observable
fixed,3007,466.567961,15.552265,0.321497,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
baseline,3007,466.567961,15.552265,0.321497,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
scripted,3007,458.527033,15.284234,0.327134,4.326917,8.107180,0,0,0.000000,0.000000,1.000000,constant,observable
td3_agent,3007,521.842755,17.394759,0.287443,3.300000,8.575173,0,0,0.000000,0.000000,1.000000,constant,observable
fixed,3008,483.054939,16.101831,0.310524,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
baseline,3008,483.054939,16.101831,0.310524,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
scripted,3008,465.632703,15.521090,0.322142,3.326931,8.984787,0,0,0.000000,0.000000,1.000000,constant,observable
td3_agent,3008,537.150670,17.905022,0.279251,3.300000,8.923940,0,0,0.000000,0.000000,1.000000,constant,observable
fixed,3009,483.047340,16.101578,0.310529,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
baseline,3009,483.047340,16.101578,0.310529,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,constant,observable
scripted,3009,468.549754,15.618325,0.320137,3.369161,9.038080,0,0,0.000000,0.000000,1.000000,constant,observable
