Policy,Seed,MeanPowerW,EnergyWh,EnduranceHours,MinimumGroundSpeed,MaximumGroundSpeed,RateViolations,BoundViolations,BlockedFraction,RadialRms,PowerCoverage,WindMode,WindObservation
fixed,4001,470.240785,15.674693,0.318986,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,dropout
baseline,4001,470.240785,15.674693,0.318986,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,dropout
scripted,4001,470.158011,15.671934,0.319042,4.238456,7.958661,0,0,0.000000,0.000000,1.000000,irregular,dropout
td3_agent,4001,496.775818,16.559194,0.301947,3.300000,8.423943,0,0,0.000000,0.000000,1.000000,irregular,dropout
fixed,4002,475.016467,15.833882,0.315779,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,dropout
baseline,4002,475.016467,15.833882,0.315779,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,dropout
scripted,4002,472.521675,15.750722,0.317446,3.381469,8.013184,0,0,0.000000,0.000000,1.000000,irregular,dropout
td3_agent,4002,509.106889,16.970230,0.294634,3.300000,8.923940,0,0,0.000000,0.000000,1.000000,irregular,dropout
fixed,4003,476.196945,15.873232,0.314996,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,dropout
baseline,4003,476.196945,15.873232,0.314996,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,dropout
scripted,4003,472.854475,15.761816,0.317222,3.314928,8.425955,0,0,0.000000,0.000000,1.000000,irregular,dropout
td3_agent,4003,490.786397,16.359547,0.305632,3.300000,8.423943,0,0,0.000000,0.000000,1.000000,irregular,dropout
fixed,4004,478.898546,15.963285,0.313219,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,dropout
baseline,4004,478.898546,15.963285,0.313219,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,dropout
scripted,4004,470.050905,15.668363,0.319114,3.300014,7.910500,0,0,0.000000,0.000000,1.000000,irregular,dropout
td3_agent,4004,495.630492,16.521016,0.302645,3.300000,7.423975,0,0,0.000000,0.000000,1.000000,irregular,dropout
fixed,4005,472.110611,15.737020,0.317722,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,dropout
baseline,4005,472.110611,15.737020,0.317722,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,dropout
scripted,4005,473.082320,15.769411,0.317070,3.303647,8.040774,0,0,0.000000,0.000000,1.000000,irregular,dropout
td3_agent,4005,497.185877,16.572863,0.301698,3.300000,8.923940,0,0,0.000000,0.000000,1.000000,irregular,dropout
fixed,4006,468.446797,15.614893,0.320207,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,dropout
baseline,4006,468.446797,15.614893,0.320207,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,dropout
scripted,4006,468.119319,15.603977,0.320431,4.363077,8.888146,0,0,0.000000,0.000000,1.000000,irregular,dropout
