Policy,Seed,MeanPowerW,EnergyWh,EnduranceHours,MinimumGroundSpeed,MaximumGroundSpeed,RateViolations,BoundViolations,BlockedFraction,RadialRms,PowerCoverage,WindMode,WindObservation
fixed,5001,475.768458,15.858949,0.315279,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
baseline,5001,475.768458,15.858949,0.315279,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
scripted,5001,475.768458,15.858949,0.315279,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
td3_agent,5001,508.532722,16.951091,0.294966,3.300000,6.224521,0,0,0.000000,0.000000,1.000000,irregular,hidden
fixed,5002,476.058496,15.868617,0.315087,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
baseline,5002,476.058496,15.868617,0.315087,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
scripted,5002,476.058496,15.868617,0.315087,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
td3_agent,5002,481.033875,16.034462,0.311828,3.300000,6.224521,0,0,0.000000,0.000000,1.000000,irregular,hidden
fixed,5003,479.066342,15.968878,0.313109,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
baseline,5003,479.066342,15.968878,0.313109,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
scripted,5003,479.066342,15.968878,0.313109,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
td3_agent,5003,487.794531,16.259818,0.307507,3.300000,6.224521,0,0,0.000000,0.000000,1.000000,irregular,hidden
fixed,5004,477.292141,15.909738,0.314273,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
baseline,5004,477.292141,15.909738,0.314273,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
scripted,5004,477.292141,15.909738,0.314273,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,hidden
td3_agent,5004,516.509912,17.216997,0.290411,3.300000,6.224521,0,0,0.000000,0.000000,1.000000,irregular,hidden
