Policy,Seed,MeanPowerW,EnergyWh,EnduranceHours,MinimumGroundSpeed,MaximumGroundSpeed,RateViolations,BoundViolations,BlockedFraction,RadialRms,PowerCoverage,WindMode,WindObservation
fixed,2001,480.384556,16.012819,0.312250,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2001,480.384556,16.012819,0.312250,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2001,477.202390,15.906746,0.314332,3.341284,9.180225,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2001,515.398353,17.179945,0.291037,3.300000,8.423943,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2002,483.305425,16.110181,0.310363,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2002,483.305425,16.110181,0.310363,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2002,476.880710,15.896024,0.314544,3.303164,9.010522,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2002,513.713694,17.123790,0.291991,3.300000,9.113943,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2003,474.985729,15.832858,0.315799,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2003,474.985729,15.832858,0.315799,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2003,469.890314,15.663010,0.319223,3.409748,8.877346,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2003,488.814200,16.293807,0.306865,3.300000,7.423975,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2004,480.414265,16.013809,0.312231,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2004,480.414265,16.013809,0.312231,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2004,474.941112,15.831370,0.315829,3.721315,8.581103,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2004,492.973950,16.432465,0.304276,3.300000,9.271915,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2005,481.171757,16.039059,0.311739,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2005,481.171757,16.039059,0.311739,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2005,476.488723,15.882957,0.314803,3.310510,9.132773,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2005,534.089668,17.802989,0.280852,3.300000,9.113943,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2006,492.338090,16.411270,0.304669,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2006,492.338090,16.411270,0.304669,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2006,473.659563,15.788652,0.316683,3.313415,8.757924,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2006,491.412872,16.380429,0.305242,3.300000,7.423975,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2007,497.052203,16.568407,0.301779,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2007,497.052203,16.568407,0.301779,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2007,479.999978,15.999999,0.312500,3.300059,8.991889,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2007,513.021586,17.100720,0.292385,3.300000,8.923940,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2008,481.036485,16.034549,0.311827,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2008,481.036485,16.034549,0.311827,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2008,471.854988,15.728500,0.317894,3.504906,8.563629,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2008,518.289141,17.276305,0.289414,3.300000,8.423943,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2009,500.563936,16.685465,0.299662,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2009,500.563936,16.685465,0.299662,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2009,486.685658,16.222855,0.308207,3.300037,9.113943,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2009,499.868228,16.662274,0.300079,3.300000,8.423943,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2010,484.556604,16.151887,0.309561,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2010,484.556604,16.151887,0.309561,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2010,483.207171,16.106906,0.310426,3.994898,9.141531,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2010,502.316530,16.743884,0.298616,3.300000,8.423943,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2011,476.835455,15.894515,0.314574,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2011,476.835455,15.894515,0.314574,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2011,472.154497,15.738483,0.317693,3.456992,9.267118,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2011,495.587481,16.519583,0.302671,3.300000,8.423943,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2012,480.399901,16.013330,0.312240,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2012,480.399901,16.013330,0.312240,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2012,465.793809,15.526460,0.322031,3.300810,8.747361,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2012,490.562615,16.352087,0.305771,3.300000,8.423943,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2013,479.630844,15.987695,0.312741,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2013,479.630844,15.987695,0.312741,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2013,471.639864,15.721329,0.318039,3.314460,7.635448,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2013,503.352908,16.778430,0.298002,3.300000,8.423943,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2014,484.799304,16.159977,0.309406,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2014,484.799304,16.159977,0.309406,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2014,471.179063,15.705969,0.318350,3.300004,9.123651,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2014,522.876295,17.429210,0.286875,3.300000,9.113943,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2015,489.487835,16.316261,0.306443,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2015,489.487835,16.316261,0.306443,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2015,479.986032,15.999534,0.312509,3.333540,9.082115,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2015,504.632965,16.821099,0.297246,3.300000,7.923951,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2016,484.239853,16.141328,0.309764,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2016,484.239853,16.141328,0.309764,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2016,468.919801,15.630660,0.319884,3.300000,7.887078,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2016,492.519124,16.417304,0.304557,3.300000,8.423943,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2017,486.934818,16.231161,0.308049,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2017,486.934818,16.231161,0.308049,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2017,480.384357,16.012812,0.312250,3.300183,8.582067,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2017,491.110491,16.370350,0.305430,3.300000,8.423943,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2018,471.302410,15.710080,0.318267,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2018,471.302410,15.710080,0.318267,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2018,471.341086,15.711370,0.318241,3.376218,8.411210,0,0,0.000000,0.000000,1.000000,irregular,observable
td3_agent,2018,509.390998,16.979700,0.294469,3.300000,8.423943,0,0,0.000000,0.000000,1.000000,irregular,observable
fixed,2019,479.890275,15.996342,0.312571,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
baseline,2019,479.890275,15.996342,0.312571,6.300000,6.300000,0,0,0.000000,0.000000,1.000000,irregular,observable
scripted,2019,479.467317,15.982244,0.312847,3.621214,9.078275,0,0,0.000000,0.000000,1.000000,irregular,observable
