Policy,Seed,MeanPowerW,EnergyWh,EnduranceHours,MinimumGroundSpeed,MaximumGroundSpeed,RateViolations,BoundViolations,BlockedFraction,RadialRms,PowerCoverage,WindMode,WindObservation
fixed,2001,478.514037750692,15.9504679250231,0.313470427545013,6.3,6.3,0,0,0,0,1,irregular,observable
baseline,2001,478.514037750692,15.9504679250231,0.313470427545013,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2001,474.472931792079,15.8157643930693,0.316140268388866,3.30587816056669,8.71612290273569,0,0,0,0,1,irregular,observable
td3_agent,2001,499.794530356962,16.6598176785654,0.300123332467979,3.3080429200451,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2002,476.435552351718,15.8811850783906,0.314837965511998,6.3,6.3,0,0,0,0,1,irregular,observable
baseline,2002,476.435552351718,15.8811850783906,0.314837965511998,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2002,467.402030002144,15.5800676667381,0.320922868048545,3.30000078003422,7.78578836010882,0,0,0,0,1,irregular,observable
td3_agent,2002,496.110222481071,16.5370074160357,0.302352165310851,3.30976491408133,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2003,469.724342781135,15.6574780927045,0.319336228375738,6.3,6.3,0,0,0,0,1,irregular,observable
baseline,2003,469.724342781135,15.6574780927045,0.319336228375738,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2003,466.211085166109,15.540369505537,0.321742671447968,3.46104924044629,8.9469721591283,0,0,0,0,1,irregular,observable
td3_agent,2003,507.51484040841,16.917161346947,0.295557859705721,3.3079010955245,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2004,482.488509777632,16.0829503259211,0.310888232486887,6.3,6.3,0,0,0,0,1,irregular,observable
baseline,2004,482.488509777632,16.0829503259211,0.310888232486887,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2004,467.009255517364,15.5669751839121,0.321192777718776,3.31773125463004,9.04760815634599,0,0,0,0,1,irregular,observable
td3_agent,2004,487.196594806695,16.2398864935565,0.307883925296143,3.30986515508629,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2005,486.364432813396,16.2121477604465,0.308410709912151,6.3,6.3,0,0,0,0,1,irregular,observable
baseline,2005,486.364432813396,16.2121477604465,0.308410709912151,6.3,6.3,0,0,0,0,1,irregular,observable
scripted,2005,479.75250633611,15.9917502112037,0.31266121181014,3.39340016847067,8.81956621231807,0,0,0,0,1,irregular,observable
td3_agent,2005,486.25804796247,16.208601598749,0.30847818484143,3.30941523025268,6.22452095135285,0,0,0,0,1,irregular,observable
fixed,2006,476.355307775384,15.8785102591795,0.314891001635967,6.3,6.3,0,0,0,0,1,irregular,observable
