Policy,Seed,MeanPowerW,EnergyWh,EnduranceHours,MinimumGroundSpeed,MaximumGroundSpeed,RateViolations,BoundViolations,BlockedFraction,RadialRms,PowerCoverage,WindMode,WindObservation
fixed,3001,465.527015677344,15.5175671892448,0.322215456780203,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3001,465.527015677344,15.5175671892448,0.322215456780203,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3001,456.710498076644,15.2236832692215,0.328435629642188,6.37547904864716,7.73828427256631,0,0,0,0,1,constant,observable
td3_agent,3001,558.997142102325,18.6332380700775,0.26833768672925,3.30799318651512,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3002,460.383314213952,15.3461104737984,0.325815457182905,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3002,460.383314213952,15.3461104737984,0.325815457182905,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3002,456.625767010429,15.2208589003476,0.328496573861926,5.2452990572266,6.22452095135284,0,0,0,0,1,constant,observable
td3_agent,3002,483.747516882009,16.1249172294003,0.310079111034665,3.30904160385954,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3003,458.494272152876,15.2831424050959,0.327157849313296,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3003,458.494272152876,15.2831424050959,0.327157849313296,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3003,456.597871923026,15.2199290641009,0.328516642813629,5.52580454492846,6.22452095135284,0,0,0,0,1,constant,observable
td3_agent,3003,486.74033097514,16.2246776991713,0.308172531541589,3.30898666721962,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3004,456.549341654307,15.2183113884769,0.328551563466229,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3004,456.549341654307,15.2183113884769,0.328551563466229,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3004,456.617245372322,15.2205748457441,0.328502704442736,5.99472627232015,6.40513342307022,0,0,0,0,1,constant,observable
td3_agent,3004,496.463343336064,16.5487781112021,0.302137110450192,3.30885407289729,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3005,459.519254382436,15.3173084794145,0.326428106264209,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3005,459.519254382436,15.3173084794145,0.326428106264209,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3005,456.63127738145,15.2210425793817,0.328492609748886,6.37547833406647,7.21522008254269,0,0,0,0,1,constant,observable
td3_agent,3005,535.555900306778,17.8518633435593,0.280082807255184,3.30832575160355,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3006,456.500151943139,15.216671731438,0.328586966206933,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3006,456.500151943139,15.216671731438,0.328586966206933,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3006,456.605814909196,15.2201938303065,0.328510928030625,6.11878620707345,6.55175277295396,0,0,0,0,1,constant,observable
td3_agent,3006,506.202902840901,16.8734300946967,0.296323863727713,3.30871165282429,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3007,493.943342376098,16.4647780792033,0.303678554059318,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3007,493.943342376098,16.4647780792033,0.303678554059318,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3007,457.393183999896,15.2464394666632,0.327945420367336,6.37547904864716,9.03419993966068,0,0,0,0,1,constant,observable
td3_agent,3007,614.918257689342,20.4972752563114,0.243934861462156,3.30728360484245,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3008,517.452584646146,17.2484194882049,0.289881632541416,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3008,517.452584646146,17.2484194882049,0.289881632541416,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3008,458.297926814564,15.2765975604855,0.327298011236025,3.3,6.22452095135284,0,0,0,0,1,constant,observable
td3_agent,3008,458.300908876034,15.2766969625345,0.327295881581098,3.3093993492466,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3009,462.533980295988,15.4177993431996,0.324300497671568,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3009,462.533980295988,15.4177993431996,0.324300497671568,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3009,456.680682722905,15.2226894240968,0.32845707224935,6.37547904864716,7.57645634276703,0,0,0,0,1,constant,observable
td3_agent,3009,531.665371481911,17.722179049397,0.282132348740158,3.3083674414405,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3010,481.631613778318,16.0543871259439,0.311441350004572,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3010,481.631613778318,16.0543871259439,0.311441350004572,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3010,457.096863685595,15.2365621228532,0.328158016203704,6.37547904864716,8.70144229811142,0,0,0,0,1,constant,observable
td3_agent,3010,565.878754964477,18.8626251654826,0.265074450461418,3.30793602371397,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3011,457.472962035819,15.2490987345273,0.327888230448591,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3011,457.472962035819,15.2490987345273,0.327888230448591,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3011,456.594187266177,15.2198062422059,0.328519293901032,5.68520069966892,6.24880378007107,0,0,0,0,1,constant,observable
td3_agent,3011,492.948811967256,16.4316270655752,0.304291229349719,3.3089270535942,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3012,498.934331992339,16.6311443997446,0.300640766493301,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3012,498.934331992339,16.6311443997446,0.300640766493301,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3012,457.56399619845,15.252133206615,0.327822995791268,3.37485549402471,6.22452095135284,0,0,0,0,1,constant,observable
td3_agent,3012,457.703587154407,15.2567862384802,0.327723015964473,3.30942342921814,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3013,456.796827951057,15.2265609317019,0.328373558706217,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3013,456.796827951057,15.2265609317019,0.328373558706217,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3013,456.602580679336,15.2200860226445,0.328513254955391,6.29026316433964,6.70898242108489,0,0,0,0,1,constant,observable
td3_agent,3013,505.700454890692,16.8566818296897,0.296618281730482,3.30870304374923,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3014,484.791525043402,16.1597175014467,0.309411349520953,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3014,484.791525043402,16.1597175014467,0.309411349520953,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3014,457.170098460358,15.2390032820119,0.328105448071002,3.84564314564763,6.22452095135284,0,0,0,0,1,constant,observable
td3_agent,3014,460.108802673258,15.3369600891086,0.326009846211356,3.30941607804859,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3015,465.92249954857,15.5307499849523,0.321941954177646,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3015,465.92249954857,15.5307499849523,0.321941954177646,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3015,456.771715089727,15.2257238363242,0.328391612362719,4.61632974585764,6.22452095135284,0,0,0,0,1,constant,observable
td3_agent,3015,466.259087220397,15.5419695740132,0.321709547569839,3.30929873651496,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3016,529.643825391022,17.6547941797007,0.283209192308168,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3016,529.643825391022,17.6547941797007,0.283209192308168,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3016,459.851274700655,15.3283758233552,0.326192419707098,3.3,6.22452095135284,0,0,0,0,1,constant,observable
td3_agent,3016,459.905222938118,15.3301740979372,0.326154156375352,3.3093771244477,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3017,456.622368696906,15.2207456232302,0.328499018626847,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3017,456.622368696906,15.2207456232302,0.328499018626847,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3017,456.604293380594,15.2201431126865,0.328512022717601,5.91395347258937,6.40196467614928,0,0,0,0,1,constant,observable
td3_agent,3017,497.736017921417,16.5912005973806,0.301364567961971,3.30885277202539,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3018,456.55176059466,15.218392019822,0.328549822707122,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3018,456.55176059466,15.218392019822,0.328549822707122,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3018,456.584433613281,15.2194811204427,0.328526311799424,6.04391726223432,6.41941480705681,0,0,0,0,1,constant,observable
td3_agent,3018,501.836899409748,16.7278966469916,0.298901894572574,3.30877572297879,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3019,474.097441741254,15.8032480580418,0.316390654733515,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3019,474.097441741254,15.8032480580418,0.316390654733515,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3019,456.899232177673,15.2299744059224,0.328299960770497,4.34943934102791,6.22452095135284,0,0,0,0,1,constant,observable
td3_agent,3019,465.401610379589,15.513387012653,0.322302279697008,3.30931483092243,6.22452095135284,0,0,0,0,1,constant,observable
fixed,3020,464.35538255991,15.478512751997,0.323028451125248,6.3,6.3,0,0,0,0,1,constant,observable
baseline,3020,464.35538255991,15.478512751997,0.323028451125248,6.3,6.3,0,0,0,0,1,constant,observable
scripted,3020,456.677121641641,15.222570721388,0.328459633495077,4.9739298116928,6.22452095135284,0,0,0,0,1,constant,observable
td3_agent,3020,476.081747266622,15.8693915755541,0.315071940609382,3.3091495329748,6.22452095135284,0,0,0,0,1,constant,observable
