Method,Window,StructBiasMps,ArgminBiasMean,ArgminBiasMax,NoiseResidualStd
none,3,0,0.2,0.333333333333333,0.0140418867951471
none,5,0,0.2,0.333333333333333,0.0140418867951471
none,7,0,0.2,0.333333333333333,0.0140418867951471
none,9,0,0.2,0.333333333333333,0.0140418867951471
none,11,0,0.2,0.333333333333333,0.0140418867951471
moving,3,0,0.133333333333333,0.333333333333333,0.00912599441854417
moving,5,0,0.2,0.333333333333333,0.00693010207404581
moving,7,0,0.2,0.333333333333333,0.00535491131075926
moving,9,0.333333333333333,0.266666666666667,0.666666666666667,0.00419094310755369
moving,11,0,0.333333333333333,0.666666666666667,0.00308281925788951
gaussian,3,0,0.133333333333333,0.333333333333333,0.0108334071000354
gaussian,5,0,0.0666666666666666,0.333333333333333,0.00861548508479616
gaussian,7,0,0.2,0.333333333333333,0.00698462378965745
gaussian,9,0,0.133333333333333,0.333333333333333,0.00577747003972081
gaussian,11,0,0.0666666666666666,0.333333333333333,0.00475106161048409
median,3,0.333333333333333,0.333333333333333,0.333333333333333,0.00967305810967997
median,5,0.333333333333333,0.333333333333333,0.666666666666667,0.00987398566567522
median,7,0.666666666666667,0.466666666666667,0.666666666666667,0.0101889161090195
median,9,0.666666666666667,0.533333333333333,1,0.00886763041991918
median,11,1,0.533333333333333,0.666666666666667,0.00841445622304663
sg,3,0,0.2,0.333333333333333,0.0140418867951471
sg,5,0,0.133333333333333,0.333333333333333,0.0108709497475254
sg,7,0,0.133333333333333,0.333333333333333,0.00944923671638348
sg,9,0,0.2,0.333333333333333,0.00809487249597331
sg,11,0,0.2,0.333333333333333,0.00738396873761981
