EnergyOn,Curve,Scenario,Algorithm,FinalError,EvalsToEps,RecoverySteps,SteadyRegretPercent,EnergyExcessPercent,SearchSteps,ProbeSteps,ResearchCount
1,cubic,static,grid,0.0999999999999996,NaN,NaN,0.00712637108559908,16.9163719893169,101,0,NaN
1,cubic,static,ternary,0.000393472478427803,9,NaN,1.1151554305753e-07,0.198037057163055,36,0,NaN
1,cubic,static,golden,3.36495667747627e-05,8,NaN,8.15545756763805e-10,0.141061159317842,17,0,NaN
1,cubic,static,brent,0.000581269725840272,6,NaN,2.43342136024078e-07,0.0428570427124122,8,0,NaN
1,cubic,static,tracker,0.000581269725840272,6,NaN,0.0300054927751622,0.0716620821681174,8,64,0
1,cubic,static,esc,0.0244198325078626,45,NaN,0.0968767565296269,0.528548771001859,0,0,NaN
1,cubic,jumpUp,grid,2.8,NaN,Inf,3.97369500448483,19.6929700326963,101,0,NaN
1,cubic,jumpUp,ternary,2.69960652752157,9,Inf,3.74961648282545,2.82276851708,36,0,NaN
1,cubic,jumpUp,golden,2.69996635043323,8,Inf,3.75041617816512,2.76635248346256,17,0,NaN
1,cubic,jumpUp,brent,2.70058126972584,6,Inf,3.75178287902172,2.66910488768813,8,0,NaN
1,cubic,jumpUp,tracker,0.00394702108020262,6,14,0.0300596171017773,0.208267316162585,27,62,1
1,cubic,jumpUp,esc,0.0244198335600849,45,68,0.0968767530402196,0.635625278259236,0,0,NaN
1,cubic,jumpDown,grid,2.2,NaN,Inf,4.29762096292162,19.9197182036021,101,0,NaN
1,cubic,jumpDown,ternary,2.30039347247843,9,Inf,4.73929219236907,3.51554151376052,36,0,NaN
1,cubic,jumpDown,golden,2.30003364956677,8,Inf,4.73766460509243,3.45742638231167,17,0,NaN
1,cubic,jumpDown,brent,2.29941873027416,6,Inf,4.7348838870702,3.35727559332206,8,0,NaN
1,cubic,jumpDown,tracker,0.00448333520085864,6,12,0.0300679853940489,0.18200558235305,16,64,1
1,cubic,jumpDown,esc,0.024419832232963,45,48,0.0968767574412554,0.716803471042562,0,0,NaN
1,cubic,offset,grid,0.0999999999999996,NaN,Inf,0.00675636220265001,16.2918223905552,101,0,NaN
1,cubic,offset,ternary,0.000393472478427803,9,0,1.05725535629829e-07,0.190725562436571,36,0,NaN
1,cubic,offset,golden,3.36495667747627e-05,8,0,7.73201740317086e-10,0.135853205123618,17,0,NaN
1,cubic,offset,brent,0.000581269725840272,6,0,2.30707549522308e-07,0.0412747679287261,8,0,NaN
1,cubic,offset,tracker,0.000581269725840272,6,0,0.02844757518559,0.0690163301893367,8,64,0
1,cubic,offset,esc,0.0244198322722715,45,0,0.0918468114484593,0.528903141490731,0,0,NaN
1,cubic,ramp,grid,1.8,NaN,NaN,1.88913618960337,16.8780711999419,101,0,NaN
1,cubic,ramp,ternary,1.69960652752157,9,NaN,1.70638629545464,1.31437365103092,36,0,NaN
1,cubic,ramp,golden,1.69996635043323,8,NaN,1.707029633513,1.25785925089012,17,0,NaN
1,cubic,ramp,brent,1.70058126972584,6,NaN,1.7081292646773,1.16044364789313,8,0,NaN
1,cubic,ramp,tracker,0.00104736063607458,6,NaN,0.0271477344767806,0.0937370560987558,65,54,5
1,cubic,ramp,esc,0.0244198393560229,45,NaN,0.0968767338195788,0.54182423214304,0,0,NaN
1,cubic,midsearch,grid,0,46,39,0,8.41051095318507,101,0,NaN
1,cubic,midsearch,ternary,0.1178775059571,NaN,Inf,0.00988323518553606,0.248034974585735,36,0,NaN
1,cubic,midsearch,golden,2.47524157501472,NaN,Inf,3.25702561792389,3.34701055943157,17,0,NaN
1,cubic,midsearch,brent,2.70058126972584,6,Inf,3.75178287902172,3.73836263017444,8,0,NaN
1,cubic,midsearch,tracker,0.00394702108020262,6,20,0.0300596171017773,0.264558360583581,27,62,1
1,cubic,midsearch,esc,0.0244198325079861,76,69,0.0968767565292228,0.395093840643595,0,0,NaN
1,debug,static,grid,0,31,NaN,0,3.7875,101,0,NaN
1,debug,static,ternary,0.00112573808660876,18,NaN,3.80185882775663e-07,0.0597412618306394,36,0,NaN
1,debug,static,golden,0.00146627487171624,10,NaN,6.44988595865925e-07,0.041261344011374,17,0,NaN
1,debug,static,brent,4.44089209850063e-15,4,NaN,0,0.0155899533750316,6,0,NaN
1,debug,static,tracker,4.44089209850063e-15,4,NaN,0.0125000000000005,0.027589953375032,6,64,0
1,debug,static,esc,0.0126870449835526,72,NaN,0.0403145340274202,0.240251430499888,0,0,NaN
1,debug,jumpUp,grid,2.7,31,Inf,2.18700000000001,5.31839999999999,101,0,NaN
1,debug,jumpUp,ternary,2.70112573808661,18,Inf,2.18882407588619,1.59191784882085,36,0,NaN
1,debug,jumpUp,golden,2.70146627487172,10,Inf,2.18937601028077,1.5738240997159,17,0,NaN
1,debug,jumpUp,brent,2.69999999999999,4,Inf,2.18699999999998,1.54648995337502,6,0,NaN
1,debug,jumpUp,tracker,6.03961325396085e-14,4,10,0.0125000000000005,0.0793038844432879,13,64,1
1,debug,jumpUp,esc,0.0126870532705379,72,56,0.0403145292511997,0.284437622012253,0,0,NaN
1,debug,jumpDown,grid,2.3,31,Inf,1.58700000000001,4.89839999999998,101,0,NaN
1,debug,jumpDown,ternary,2.29887426191339,18,Inf,1.58544686162636,1.16955379883897,36,0,NaN
1,debug,jumpDown,golden,2.29853372512828,10,Inf,1.58497718566564,1.1507449224853,17,0,NaN
1,debug,jumpDown,brent,2.3,4,Inf,1.58700000000001,1.12648995337504,6,0,NaN
1,debug,jumpDown,tracker,9.41469124882133e-14,4,9,0.0125000000000005,0.0565106856787849,12,64,1
1,debug,jumpDown,esc,0.012687026572415,72,65,0.0403145446387868,0.317893948793464,0,0,NaN
1,debug,offset,grid,0,31,0,0,3.65942028985508,101,0,NaN
1,debug,offset,ternary,0.00112573808660876,18,0,3.62081793119679e-07,0.0577210259233232,36,0,NaN
1,debug,offset,golden,0.00146627487171624,10,0,6.14274853205643e-07,0.039866032861231,17,0,NaN
1,debug,offset,brent,4.44089209850063e-15,4,0,0,0.0150627568840885,6,0,NaN
1,debug,offset,tracker,4.44089209850063e-15,4,0,0.0119047619047624,0.0266569597826397,6,64,0
1,debug,offset,esc,0.0126870340315053,72,0,0.0383948003235103,0.251288644279996,0,0,NaN
1,debug,ramp,grid,1.7,31,NaN,0.866999999999996,4.15132426041667,101,0,NaN
1,debug,ramp,ternary,1.70112573808661,18,NaN,0.868148633034216,0.623012863925077,36,0,NaN
1,debug,ramp,golden,1.70146627487172,10,NaN,0.868496245357742,0.604775655185984,17,0,NaN
1,debug,ramp,brent,1.7,4,NaN,0.866999999999996,0.578059213791695,6,0,NaN
1,debug,ramp,tracker,2.66453525910038e-15,4,NaN,0.0125000000000005,0.0390290776253858,62,56,5
1,debug,ramp,esc,0.0126871246168418,65,NaN,0.0403144881314155,0.246759411691442,0,0,NaN
1,debug,midsearch,grid,0.0999999999999996,NaN,Inf,0.00299999999999745,2.53930499999998,101,0,NaN
1,debug,midsearch,ternary,0.000728754177995228,20,13,1.59324797799343e-07,0.077555248161818,36,0,NaN
1,debug,midsearch,golden,2.86407864998738,NaN,Inf,2.46088395399406,2.46626302138033,17,0,NaN
1,debug,midsearch,brent,2.69999999999999,4,Inf,2.18699999999998,2.16978495337502,6,0,NaN
1,debug,midsearch,tracker,6.03961325396085e-14,4,16,0.0125000000000005,0.112108884443288,13,64,1
1,debug,midsearch,esc,0.012687044992953,64,57,0.0403145340220086,0.129716797087399,0,0,NaN
0,cubic,static,grid,0.0999999999999996,NaN,NaN,0.00712637108559908,NaN,101,0,NaN
0,cubic,static,ternary,0.000393472478427803,9,NaN,1.1151554305753e-07,NaN,36,0,NaN
0,cubic,static,golden,3.36495667747627e-05,8,NaN,8.15545756763805e-10,NaN,17,0,NaN
0,cubic,static,brent,0.000581269725840272,6,NaN,2.43342136024078e-07,NaN,8,0,NaN
0,cubic,static,tracker,0.000581269725840272,6,NaN,0.0300054927751622,NaN,8,64,0
0,cubic,static,esc,0.0244198325078626,45,NaN,0.0968767565296269,NaN,0,0,NaN
0,cubic,jumpUp,grid,2.8,NaN,Inf,3.97369500448483,NaN,101,0,NaN
0,cubic,jumpUp,ternary,2.69960652752157,9,Inf,3.74961648282545,NaN,36,0,NaN
0,cubic,jumpUp,golden,2.69996635043323,8,Inf,3.75041617816512,NaN,17,0,NaN
0,cubic,jumpUp,brent,2.70058126972584,6,Inf,3.75178287902172,NaN,8,0,NaN
0,cubic,jumpUp,tracker,0.00394702108020262,6,14,0.0300596171017773,NaN,27,62,1
0,cubic,jumpUp,esc,0.0244198335600849,45,68,0.0968767530402196,NaN,0,0,NaN
0,cubic,jumpDown,grid,2.2,NaN,Inf,4.29762096292162,NaN,101,0,NaN
0,cubic,jumpDown,ternary,2.30039347247843,9,Inf,4.73929219236907,NaN,36,0,NaN
0,cubic,jumpDown,golden,2.30003364956677,8,Inf,4.73766460509243,NaN,17,0,NaN
0,cubic,jumpDown,brent,2.29941873027416,6,Inf,4.7348838870702,NaN,8,0,NaN
0,cubic,jumpDown,tracker,0.00448333520085864,6,12,0.0300679853940489,NaN,16,64,1
0,cubic,jumpDown,esc,0.024419832232963,45,48,0.0968767574412554,NaN,0,0,NaN
0,cubic,offset,grid,0.0999999999999996,NaN,Inf,0.00675636220265001,NaN,101,0,NaN
0,cubic,offset,ternary,0.000393472478427803,9,0,1.05725535629829e-07,NaN,36,0,NaN
0,cubic,offset,golden,3.36495667747627e-05,8,0,7.73201740317086e-10,NaN,17,0,NaN
0,cubic,offset,brent,0.000581269725840272,6,0,2.30707549522308e-07,NaN,8,0,NaN
0,cubic,offset,tracker,0.000581269725840272,6,0,0.02844757518559,NaN,8,64,0
0,cubic,offset,esc,0.0244198322722715,45,0,0.0918468114484593,NaN,0,0,NaN
0,cubic,ramp,grid,1.8,NaN,NaN,1.88913618960337,NaN,101,0,NaN
0,cubic,ramp,ternary,1.69960652752157,9,NaN,1.70638629545464,NaN,36,0,NaN
0,cubic,ramp,golden,1.69996635043323,8,NaN,1.707029633513,NaN,17,0,NaN
0,cubic,ramp,brent,1.70058126972584,6,NaN,1.7081292646773,NaN,8,0,NaN
0,cubic,ramp,tracker,0.00104736063607458,6,NaN,0.0271477344767806,NaN,65,54,5
0,cubic,ramp,esc,0.0244198393560229,45,NaN,0.0968767338195788,NaN,0,0,NaN
0,cubic,midsearch,grid,0,46,39,0,NaN,101,0,NaN
0,cubic,midsearch,ternary,0.1178775059571,NaN,Inf,0.00988323518553606,NaN,36,0,NaN
0,cubic,midsearch,golden,2.47524157501472,NaN,Inf,3.25702561792389,NaN,17,0,NaN
0,cubic,midsearch,brent,2.70058126972584,6,Inf,3.75178287902172,NaN,8,0,NaN
0,cubic,midsearch,tracker,0.00394702108020262,6,20,0.0300596171017773,NaN,27,62,1
0,cubic,midsearch,esc,0.0244198325079861,76,69,0.0968767565292228,NaN,0,0,NaN
0,debug,static,grid,0,31,NaN,0,NaN,101,0,NaN
0,debug,static,ternary,0.00112573808660876,18,NaN,3.80185882775663e-07,NaN,36,0,NaN
0,debug,static,golden,0.00146627487171624,10,NaN,6.44988595865925e-07,NaN,17,0,NaN
0,debug,static,brent,4.44089209850063e-15,4,NaN,0,NaN,6,0,NaN
0,debug,static,tracker,4.44089209850063e-15,4,NaN,0.0125000000000005,NaN,6,64,0
0,debug,static,esc,0.0126870449835526,72,NaN,0.0403145340274202,NaN,0,0,NaN
0,debug,jumpUp,grid,2.7,31,Inf,2.18700000000001,NaN,101,0,NaN
0,debug,jumpUp,ternary,2.70112573808661,18,Inf,2.18882407588619,NaN,36,0,NaN
0,debug,jumpUp,golden,2.70146627487172,10,Inf,2.18937601028077,NaN,17,0,NaN
0,debug,jumpUp,brent,2.69999999999999,4,Inf,2.18699999999998,NaN,6,0,NaN
0,debug,jumpUp,tracker,6.03961325396085e-14,4,10,0.0125000000000005,NaN,13,64,1
0,debug,jumpUp,esc,0.0126870532705379,72,56,0.0403145292511997,NaN,0,0,NaN
0,debug,jumpDown,grid,2.3,31,Inf,1.58700000000001,NaN,101,0,NaN
0,debug,jumpDown,ternary,2.29887426191339,18,Inf,1.58544686162636,NaN,36,0,NaN
0,debug,jumpDown,golden,2.29853372512828,10,Inf,1.58497718566564,NaN,17,0,NaN
0,debug,jumpDown,brent,2.3,4,Inf,1.58700000000001,NaN,6,0,NaN
0,debug,jumpDown,tracker,9.41469124882133e-14,4,9,0.0125000000000005,NaN,12,64,1
0,debug,jumpDown,esc,0.012687026572415,72,65,0.0403145446387868,NaN,0,0,NaN
0,debug,offset,grid,0,31,0,0,NaN,101,0,NaN
0,debug,offset,ternary,0.00112573808660876,18,0,3.62081793119679e-07,NaN,36,0,NaN
0,debug,offset,golden,0.00146627487171624,10,0,6.14274853205643e-07,NaN,17,0,NaN
0,debug,offset,brent,4.44089209850063e-15,4,0,0,NaN,6,0,NaN
0,debug,offset,tracker,4.44089209850063e-15,4,0,0.0119047619047624,NaN,6,64,0
0,debug,offset,esc,0.0126870340315053,72,0,0.0383948003235103,NaN,0,0,NaN
0,debug,ramp,grid,1.7,31,NaN,0.866999999999996,NaN,101,0,NaN
0,debug,ramp,ternary,1.70112573808661,18,NaN,0.868148633034216,NaN,36,0,NaN
0,debug,ramp,golden,1.70146627487172,10,NaN,0.868496245357742,NaN,17,0,NaN
0,debug,ramp,brent,1.7,4,NaN,0.866999999999996,NaN,6,0,NaN
0,debug,ramp,tracker,2.66453525910038e-15,4,NaN,0.0125000000000005,NaN,62,56,5
0,debug,ramp,esc,0.0126871246168418,65,NaN,0.0403144881314155,NaN,0,0,NaN
0,debug,midsearch,grid,0.0999999999999996,NaN,Inf,0.00299999999999745,NaN,101,0,NaN
0,debug,midsearch,ternary,0.000728754177995228,20,13,1.59324797799343e-07,NaN,36,0,NaN
0,debug,midsearch,golden,2.86407864998738,NaN,Inf,2.46088395399406,NaN,17,0,NaN
0,debug,midsearch,brent,2.69999999999999,4,Inf,2.18699999999998,NaN,6,0,NaN
0,debug,midsearch,tracker,6.03961325396085e-14,4,16,0.0125000000000005,NaN,13,64,1
0,debug,midsearch,esc,0.012687044992953,64,57,0.0403145340220086,NaN,0,0,NaN
