WindKind,Policy,CurveCase,MOE_energy,EnergyExcessPercent,ExcessStd,MaxAccelUsed,Steps
sin,openloop,0.95,0.953102182237016,4.92054457927176,0,0,400
sin,openloop,0.9,0.944549809260015,5.87054173283104,0,0,400
sin,openloop,0.85,0.935171103153828,6.93230325739746,1.08779196440841e-15,0,400
sin,qnewton,0.95,0.952616732948813,4.97401739461823,0.0301379401967073,2,400
sin,qnewton,0.9,0.939390285895818,6.45344741032554,0.476524705633225,2,400
sin,qnewton,0.85,0.929162684238756,7.62404308902028,0.206142964103042,2,400
sin,known,0.95,0.998344033881445,0.165871289090271,0,2,400
sin,known,0.9,0.998213507762251,0.178968950415642,0,2,400
sin,known,0.85,0.998067666013042,0.193607513073493,0,2,400
composite,openloop,0.95,0.95374681317612,4.84965603642217,0.0645928847705671,0,400
composite,openloop,0.9,0.945270680285747,5.78984412308561,0.0797946981192161,0,400
composite,openloop,0.85,0.935974018244269,6.84064257288601,0.105963300302539,0,400
composite,qnewton,0.95,0.953526462964932,4.87457967442363,0.336932924201973,2,400
composite,qnewton,0.9,0.942530752992359,6.10112627325021,0.776296046455438,2,400
composite,qnewton,0.85,0.931073776026346,7.41469934300003,1.37540784714867,2,400
composite,known,0.95,0.996597100618179,0.34145295340827,0.0128020577794414,2,400
composite,known,0.9,0.996342306169804,0.367113431839159,0.0137998489207836,2,400
composite,known,0.85,0.996057690191368,0.39579279008548,0.0149153486660225,2,400
sector,openloop,0.95,0.953631566823869,4.86230057700004,0,0,400
sector,openloop,0.9,0.945797721295259,5.73085317127972,1.08779196440841e-15,0,400
sector,openloop,0.85,0.937193170947951,6.70158842371004,0,0,400
sector,qnewton,0.95,0.95560998931633,4.64632196290516,0.419495775066625,2,400
sector,qnewton,0.9,0.953029643311484,4.93060282239051,0.57087059257818,2,400
sector,qnewton,0.85,0.944099024569618,5.92163068587861,0.292682913058509,2,400
sector,known,0.95,0.99781890367874,0.218586390097267,0,2,400
sector,known,0.9,0.997662591259777,0.23428850201466,3.3993498887763e-17,2,400
sector,known,0.85,0.997487947089664,0.251837921216504,0,2,400
